Crop,Soil_pH,Organic_Matter_Percent,N_Content_mgkg,P_Content_mgkg,K_Content_mgkg,Rainfall_mm,Temperature_C,Yield_Tons_per_ha,Fertilizer_Recommendation
Soybeans,7.05,4.8,96.1,39.9,170.3,701.4,22.5,3.12,No fertilizer needed
Rice,6.17,4.77,81.3,48.3,130.4,843.6,23.0,4.71,No fertilizer needed
Rice,6.14,3.97,94.0,15.2,220.1,895.9,29.2,4.8,Need P fertilizer
Soybeans,6.42,4.79,105.2,42.9,203.9,516.2,18.3,3.15,No fertilizer needed
Soybeans,6.59,4.27,33.0,39.2,206.0,616.4,26.9,3.13,Need N fertilizer
Corn,5.95,3.1,120.0,36.8,215.4,833.6,24.0,6.41,No fertilizer needed
Rice,6.34,3.72,141.2,15.3,112.4,850.7,26.5,4.95,Need P fertilizer
Soybeans,6.82,4.72,55.8,34.0,116.7,554.5,22.2,3.08,Need K fertilizer
Soybeans,6.62,5.32,96.8,43.4,184.4,628.8,21.2,3.24,No fertilizer needed
Soybeans,5.6,4.63,70.8,31.5,183.5,597.4,23.2,3.19,Need P fertilizer
Wheat,6.69,3.91,81.0,37.3,164.2,582.7,18.8,4.58,No fertilizer needed
Wheat,6.46,3.65,116.3,29.7,220.2,646.5,17.0,4.46,No fertilizer needed
Soybeans,6.14,3.61,77.9,27.7,274.9,534.5,22.5,3.02,Need P fertilizer
Soybeans,5.98,4.23,90.5,57.5,216.8,494.4,19.6,3.12,No fertilizer needed
Wheat,6.64,3.88,68.1,50.6,203.4,600.7,20.9,4.54,Need N fertilizer
Corn,7.16,2.04,147.0,53.5,127.2,651.8,27.6,6.3,No fertilizer needed
Soybeans,7.16,4.53,70.2,44.9,193.3,701.8,21.6,3.08,No fertilizer needed
Corn,7.04,2.96,153.9,31.5,193.6,834.7,23.5,6.28,No fertilizer needed
Wheat,7.36,3.38,105.2,46.8,187.2,686.4,19.2,4.57,No fertilizer needed
Rice,4.95,4.01,104.4,24.1,142.7,848.6,20.9,4.84,No fertilizer needed
Corn,6.65,2.73,100.3,67.9,128.9,661.0,18.0,6.01,No fertilizer needed
Soybeans,6.4,3.17,95.5,31.7,195.9,664.3,26.3,3.19,No fertilizer needed
Corn,6.34,2.44,107.8,18.6,237.7,779.7,25.9,6.07,Need P fertilizer
Wheat,6.58,3.55,146.8,64.3,171.1,564.0,19.6,3.98,No fertilizer needed
Rice,4.75,3.16,97.1,38.1,200.4,989.2,24.3,4.67,No fertilizer needed
Soybeans,5.85,4.33,51.6,41.7,175.5,606.4,22.9,3.19,No fertilizer needed
Wheat,6.12,3.25,49.6,16.0,195.0,662.4,18.7,4.01,Need N-P complex fertilizer
Corn,6.78,3.17,84.1,34.0,137.3,689.8,21.4,6.28,Need N fertilizer
Wheat,6.09,2.88,96.2,41.8,177.4,586.4,17.6,4.69,No fertilizer needed
Corn,6.34,4.01,109.6,30.5,174.1,620.5,22.6,6.21,No fertilizer needed
Wheat,6.58,3.03,115.3,24.4,241.9,664.7,17.0,4.31,No fertilizer needed
Wheat,6.53,3.05,102.5,40.7,182.1,526.6,16.7,4.6,No fertilizer needed
Corn,7.1,2.08,134.0,33.5,225.2,770.4,25.4,6.39,No fertilizer needed
Soybeans,6.19,4.45,64.7,45.0,182.5,388.0,23.0,3.29,No fertilizer needed
Soybeans,7.29,4.63,77.3,57.7,146.3,644.0,21.6,3.19,No fertilizer needed
Wheat,7.03,4.15,140.1,34.9,143.9,578.2,20.9,4.38,No fertilizer needed
Rice,6.59,3.26,82.0,24.3,159.6,912.2,25.1,4.77,No fertilizer needed
Rice,5.82,3.75,85.4,41.3,168.0,802.6,24.8,4.74,No fertilizer needed
Rice,5.56,4.58,102.5,20.8,134.3,976.5,26.7,5.14,No fertilizer needed
Wheat,5.76,3.44,94.3,19.6,187.5,487.4,19.5,4.3,Need P fertilizer
Rice,6.28,3.26,118.0,41.1,155.1,869.0,25.1,4.88,No fertilizer needed
Wheat,6.89,3.19,128.6,63.4,266.9,700.5,16.6,4.38,No fertilizer needed
Soybeans,6.45,4.15,50.7,31.5,226.2,588.3,21.5,3.25,No fertilizer needed
Wheat,6.82,3.14,116.2,49.7,212.6,563.4,19.3,4.54,No fertilizer needed
Corn,7.19,3.24,105.6,34.8,128.9,761.6,20.5,6.67,No fertilizer needed
Wheat,6.52,4.05,71.1,19.8,139.4,541.4,16.9,4.35,Need N-P complex fertilizer
Rice,6.39,3.8,97.5,38.9,170.5,911.5,24.5,4.87,No fertilizer needed
Corn,6.3,2.53,90.1,51.6,176.4,758.2,24.9,6.57,No fertilizer needed
Soybeans,7.12,3.83,57.8,43.2,260.8,615.4,25.0,3.2,No fertilizer needed
Corn,6.99,2.8,176.7,35.5,269.7,779.3,24.9,6.07,No fertilizer needed
Wheat,6.11,3.0,64.8,50.4,164.9,697.2,18.1,4.46,Need N fertilizer
Rice,6.73,3.44,129.9,32.3,160.5,970.7,19.6,5.09,No fertilizer needed
Corn,6.39,2.16,134.3,34.0,100.1,793.1,19.7,6.51,Need K fertilizer
Rice,5.83,3.15,161.3,13.5,149.9,890.8,26.6,4.56,Need P fertilizer
Wheat,6.1,4.84,125.4,69.8,258.7,555.7,17.4,4.21,No fertilizer needed
Soybeans,7.03,2.94,80.0,50.1,118.7,541.0,21.8,3.14,Need K fertilizer
Wheat,6.93,3.92,84.5,37.2,180.2,581.1,20.7,4.53,No fertilizer needed
Rice,6.5,3.9,72.7,26.4,147.2,858.5,26.3,4.78,Need N fertilizer
Soybeans,5.98,4.35,55.1,52.3,192.6,594.8,19.5,3.28,No fertilizer needed
Rice,6.85,3.66,89.6,21.8,114.5,924.0,23.2,4.71,No fertilizer needed
Corn,6.45,1.98,94.9,37.4,177.2,674.4,17.0,6.51,No fertilizer needed
Corn,6.5,2.37,97.8,32.0,117.6,738.5,20.7,6.26,No fertilizer needed
Wheat,6.74,3.86,150.8,22.6,168.5,692.6,16.6,4.45,No fertilizer needed
Corn,7.03,2.51,139.2,37.1,194.9,675.2,21.7,6.78,No fertilizer needed
Corn,6.86,3.08,138.3,49.4,196.4,740.3,25.1,6.53,No fertilizer needed
Soybeans,7.11,4.08,66.9,38.7,171.7,540.3,24.2,3.1,No fertilizer needed
Rice,4.9,2.37,112.6,5.4,134.5,933.8,24.2,4.47,Need P fertilizer
Wheat,6.85,2.82,80.3,35.5,141.5,621.6,16.4,4.38,No fertilizer needed
Wheat,6.59,2.68,121.4,34.3,218.5,555.4,15.4,4.54,No fertilizer needed
Wheat,7.03,4.05,95.2,40.3,225.8,610.3,15.4,4.6,No fertilizer needed
Soybeans,7.63,4.17,98.7,31.7,162.7,440.3,22.9,3.13,No fertilizer needed
Wheat,6.17,3.01,134.7,55.7,212.0,582.3,18.3,4.37,No fertilizer needed
Rice,5.48,5.19,86.4,55.6,134.9,894.3,26.3,4.47,No fertilizer needed
Soybeans,6.5,3.72,19.7,41.1,213.8,549.8,21.5,2.9,Need N fertilizer
Rice,5.98,3.69,101.3,16.6,182.0,958.8,23.7,4.83,Need P fertilizer
Corn,6.72,3.5,105.1,37.9,150.2,693.5,24.8,6.4,No fertilizer needed
Corn,7.19,2.09,115.1,29.6,187.2,825.0,23.9,6.65,No fertilizer needed
Rice,6.06,4.0,138.8,42.1,169.3,927.2,23.8,4.82,No fertilizer needed
Corn,6.15,2.73,135.3,26.7,167.2,637.4,23.1,6.28,Need P fertilizer
Corn,6.79,3.57,142.7,72.1,128.6,738.0,21.5,5.9,No fertilizer needed
Soybeans,7.23,4.26,77.9,55.8,207.2,544.1,23.7,3.29,No fertilizer needed
Rice,6.41,3.77,87.2,34.4,222.7,944.4,22.3,4.96,No fertilizer needed
Corn,6.85,3.23,162.7,36.6,203.1,808.6,21.5,6.29,No fertilizer needed
Soybeans,6.57,4.2,56.6,32.8,206.6,713.3,25.4,3.11,No fertilizer needed
Soybeans,7.1,4.41,54.8,31.1,240.6,489.3,27.5,3.02,Need P fertilizer
Corn,7.0,2.17,101.2,49.6,161.2,668.9,24.4,6.54,No fertilizer needed
Rice,6.18,3.88,92.1,44.7,208.4,879.4,26.6,5.04,No fertilizer needed
Wheat,6.45,3.83,100.0,36.2,192.5,709.6,20.0,4.4,No fertilizer needed
Soybeans,6.46,3.63,81.4,40.0,124.7,564.7,21.3,3.3,Need K fertilizer
Soybeans,6.85,4.03,80.0,51.3,145.9,581.0,23.7,3.16,No fertilizer needed
Soybeans,6.53,3.45,102.3,39.4,194.7,510.3,20.2,3.06,No fertilizer needed
Rice,5.19,4.56,143.1,28.6,203.5,817.9,23.6,5.0,No fertilizer needed
Soybeans,6.09,4.23,57.4,29.7,193.2,591.7,19.2,3.17,Need P fertilizer
Rice,6.53,4.76,125.4,47.1,120.1,995.4,27.1,4.62,No fertilizer needed
Corn,6.09,3.4,145.3,44.0,112.3,688.7,21.5,6.32,Need K fertilizer
Corn,6.66,2.44,103.3,40.2,206.7,723.9,22.0,6.71,No fertilizer needed
Wheat,6.07,2.27,108.7,35.3,256.1,710.6,21.6,4.19,No fertilizer needed
Soybeans,6.43,3.45,74.5,52.5,179.8,536.8,22.6,3.12,No fertilizer needed
Wheat,6.44,3.29,85.2,22.8,167.1,717.5,19.9,4.56,No fertilizer needed
Soybeans,7.64,2.82,70.3,66.3,143.5,547.2,18.5,3.12,No fertilizer needed
Soybeans,5.65,4.06,82.0,67.1,167.9,711.8,24.4,3.02,No fertilizer needed
Wheat,6.38,3.76,93.0,31.2,216.2,489.7,19.1,4.45,No fertilizer needed
Soybeans,6.39,4.07,67.7,47.7,132.7,588.3,22.8,3.27,No fertilizer needed
Wheat,5.45,2.9,103.1,28.3,162.8,669.4,12.7,4.55,No fertilizer needed
Corn,6.99,3.53,120.0,43.2,173.4,740.3,22.3,6.63,No fertilizer needed
Soybeans,5.86,3.8,45.5,28.1,156.5,535.7,21.7,2.98,Need P fertilizer
Wheat,6.54,4.21,98.6,40.2,269.1,619.0,19.7,4.2,No fertilizer needed
Rice,4.8,4.66,99.2,39.9,154.6,874.4,24.1,5.1,No fertilizer needed
Corn,6.49,2.29,116.7,34.7,120.6,614.3,24.4,6.67,No fertilizer needed
Soybeans,6.66,3.57,59.6,68.7,180.3,659.6,19.7,2.97,No fertilizer needed
Wheat,6.19,2.94,95.1,43.9,227.8,634.8,23.5,4.56,No fertilizer needed
Wheat,5.65,4.42,107.6,28.4,185.6,524.2,18.5,4.29,No fertilizer needed
Rice,6.97,2.59,106.8,10.7,179.7,827.5,23.3,4.41,Need P fertilizer
Soybeans,7.66,5.37,72.9,65.6,95.9,534.0,18.5,2.92,Need K fertilizer
Rice,5.86,3.63,93.3,65.6,225.9,928.5,25.6,4.82,No fertilizer needed
Rice,5.71,3.39,120.0,24.2,144.0,925.4,23.8,5.12,No fertilizer needed
Wheat,6.39,3.4,77.0,13.0,177.7,590.3,21.1,4.21,Need P fertilizer
Rice,5.3,4.55,162.7,39.0,140.3,871.1,24.8,4.97,No fertilizer needed
Soybeans,7.25,4.46,79.4,52.7,197.2,618.0,18.9,3.25,No fertilizer needed
Corn,6.86,2.21,79.4,45.2,177.5,772.5,22.2,6.27,Need N fertilizer
Wheat,6.7,3.62,166.2,33.0,160.5,607.5,14.5,4.39,No fertilizer needed
Soybeans,6.68,4.12,78.3,56.2,133.6,537.7,21.0,3.07,No fertilizer needed
Rice,5.93,4.09,133.7,19.7,150.8,777.7,24.6,5.12,No fertilizer needed
Soybeans,6.45,4.76,79.3,33.4,166.3,609.9,19.7,3.05,No fertilizer needed
Corn,5.68,3.32,166.8,41.9,144.6,664.3,26.6,6.53,No fertilizer needed
Wheat,6.47,3.56,83.5,34.6,159.6,581.7,19.3,4.5,No fertilizer needed
Soybeans,6.98,3.79,89.6,42.1,155.6,563.1,23.9,3.12,No fertilizer needed
Wheat,7.13,3.66,112.8,38.3,173.2,604.3,17.4,4.33,No fertilizer needed
Wheat,7.7,4.85,109.5,26.2,209.2,577.8,17.8,4.16,No fertilizer needed
Rice,5.75,4.93,107.2,32.9,210.2,970.9,25.3,5.1,No fertilizer needed
Rice,5.47,3.43,93.6,32.2,125.7,937.9,26.4,5.15,No fertilizer needed
Soybeans,6.45,3.63,120.3,31.5,202.4,566.4,22.3,3.1,Need P fertilizer
Wheat,7.03,3.21,97.6,23.0,227.0,612.4,17.2,4.24,No fertilizer needed
Rice,6.09,3.6,126.4,27.4,168.8,901.1,27.9,4.82,No fertilizer needed
Corn,6.25,2.64,108.6,51.8,167.1,590.5,21.2,6.46,No fertilizer needed
Corn,5.59,2.41,160.1,42.0,171.1,665.4,26.1,6.42,No fertilizer needed
Corn,7.15,2.32,80.0,42.2,147.8,614.9,23.9,6.53,Need N fertilizer
Soybeans,5.85,5.29,34.7,27.9,197.6,611.7,21.3,2.81,Need N-P complex fertilizer
Corn,6.71,2.08,106.8,33.7,168.7,627.0,25.1,6.51,No fertilizer needed
Rice,6.99,3.74,117.9,22.7,249.6,931.1,22.3,4.73,No fertilizer needed
Soybeans,6.72,3.82,82.2,55.3,157.3,594.4,21.1,3.2,No fertilizer needed
Soybeans,6.91,5.91,60.1,62.3,156.3,557.8,18.8,3.2,No fertilizer needed
Rice,5.46,1.95,97.7,41.9,164.2,857.5,26.9,4.52,No fertilizer needed
Soybeans,6.19,4.68,67.3,32.2,286.5,646.8,19.5,3.1,No fertilizer needed
Corn,5.61,2.36,116.9,17.4,148.0,713.5,22.1,6.45,Need P fertilizer
Rice,5.25,3.35,85.0,19.0,140.3,918.2,24.8,4.81,No fertilizer needed
Corn,6.65,2.72,152.7,40.9,172.4,694.2,23.0,6.43,No fertilizer needed
Soybeans,6.69,4.82,77.7,44.4,190.3,486.7,22.3,3.22,No fertilizer needed
Rice,6.11,3.72,92.4,51.0,203.9,928.5,22.9,5.03,No fertilizer needed
Soybeans,6.58,3.78,77.4,45.1,214.9,610.5,19.9,3.32,No fertilizer needed
Soybeans,6.27,4.37,77.3,44.0,149.9,622.0,23.1,3.2,No fertilizer needed
Soybeans,6.85,3.73,82.2,47.1,152.5,547.2,23.2,3.08,No fertilizer needed
Rice,6.02,3.67,108.5,36.9,135.8,859.0,22.7,4.89,No fertilizer needed
Corn,6.45,3.05,103.4,40.5,220.8,701.5,23.8,6.52,No fertilizer needed
Soybeans,7.32,4.48,93.7,40.7,207.4,604.9,21.7,3.29,No fertilizer needed
Soybeans,6.76,3.0,78.6,39.0,154.4,546.1,18.2,2.99,No fertilizer needed
Soybeans,6.46,4.65,59.5,35.0,153.9,646.5,24.4,3.06,No fertilizer needed
Wheat,6.04,3.22,95.7,24.9,257.4,606.4,19.1,4.41,No fertilizer needed
Rice,5.35,3.57,76.8,17.7,126.6,834.0,25.2,4.56,Need N-P complex fertilizer
Rice,6.58,4.3,73.0,32.7,107.7,1011.7,25.1,4.67,Need K-N complex fertilizer
Soybeans,7.52,4.8,79.3,45.1,185.6,420.9,20.0,3.29,No fertilizer needed
Soybeans,7.83,4.43,77.5,47.7,178.7,750.8,24.4,2.98,No fertilizer needed
Rice,7.01,3.79,99.2,24.2,224.7,894.0,25.0,4.78,No fertilizer needed
Corn,6.15,2.84,112.3,61.5,194.1,573.7,24.2,6.1,No fertilizer needed
Corn,6.37,2.22,88.8,33.0,201.9,704.0,22.0,6.24,Need N fertilizer
Soybeans,7.14,3.64,30.8,43.2,160.1,620.3,23.3,2.94,Need N fertilizer
Corn,6.35,2.77,102.7,42.8,189.7,703.7,21.7,6.5,No fertilizer needed
Wheat,5.39,2.49,110.2,48.4,216.4,557.6,18.7,4.49,No fertilizer needed
Soybeans,6.05,4.07,67.4,30.7,172.3,569.6,23.2,3.13,Need P fertilizer
Wheat,7.01,3.48,105.5,30.2,213.4,570.4,18.7,4.54,No fertilizer needed
Corn,6.79,3.53,141.9,35.7,211.3,616.0,22.9,6.22,No fertilizer needed
Soybeans,6.56,4.22,94.5,38.8,182.5,637.3,21.3,3.04,No fertilizer needed
Soybeans,6.61,4.24,39.3,46.5,203.0,707.2,27.7,3.01,Need N fertilizer
Wheat,6.44,3.34,85.7,56.1,230.0,676.2,14.3,4.16,No fertilizer needed
Rice,5.39,4.42,121.7,28.3,107.4,1009.9,23.6,5.1,Need K fertilizer
Soybeans,6.41,4.69,43.1,46.0,186.1,596.4,22.1,3.2,Need N fertilizer
Corn,6.71,2.43,92.6,23.7,152.0,597.7,21.2,6.41,Need P fertilizer
Corn,6.86,2.76,88.6,52.7,244.2,740.4,24.0,6.58,Need N fertilizer
Corn,7.02,3.57,114.4,51.2,182.2,798.0,22.5,6.54,No fertilizer needed
Wheat,6.93,2.01,106.9,53.3,171.3,680.5,17.8,4.18,No fertilizer needed
Wheat,7.02,2.74,81.1,33.4,213.5,686.9,18.1,4.39,No fertilizer needed
Soybeans,6.98,3.83,59.5,47.9,156.3,458.3,23.2,3.27,No fertilizer needed
Corn,6.47,1.75,146.3,38.1,158.8,626.0,25.5,6.42,No fertilizer needed
Rice,6.43,4.32,129.2,30.4,210.4,879.2,26.3,4.85,No fertilizer needed
Wheat,6.04,3.71,123.3,43.9,188.0,558.2,19.8,4.46,No fertilizer needed
Rice,6.36,3.77,107.3,31.9,138.3,794.7,24.9,5.22,No fertilizer needed
Soybeans,6.49,4.44,61.6,42.6,185.0,493.6,23.6,3.21,No fertilizer needed
Wheat,6.36,3.09,113.9,39.2,166.6,657.0,19.5,4.63,No fertilizer needed
Corn,6.68,3.35,109.5,46.2,273.2,747.4,23.0,6.49,No fertilizer needed
Soybeans,6.79,4.0,105.8,54.9,181.6,559.1,21.8,3.18,No fertilizer needed
Wheat,6.57,3.08,107.2,42.7,153.1,538.9,19.9,4.6,No fertilizer needed
Corn,6.88,2.91,86.7,42.4,170.8,658.5,20.5,6.42,Need N fertilizer
Wheat,6.75,2.96,108.7,26.4,205.5,640.7,16.9,4.65,No fertilizer needed
Soybeans,6.68,3.78,49.6,60.2,163.1,704.8,20.2,3.14,No fertilizer needed
Wheat,6.01,2.75,77.9,28.9,264.5,615.9,21.6,4.47,No fertilizer needed
Corn,6.95,3.45,93.6,30.2,213.6,670.4,24.0,6.61,No fertilizer needed
Wheat,6.58,3.0,124.4,35.8,154.7,713.6,22.1,4.58,No fertilizer needed
Rice,6.32,4.02,108.6,34.1,192.5,1055.1,25.6,5.04,No fertilizer needed
Soybeans,7.77,3.72,60.9,32.3,131.4,445.4,23.4,3.15,No fertilizer needed
Rice,5.99,4.24,106.1,19.7,138.5,869.9,23.4,4.89,No fertilizer needed
Rice,6.57,3.44,158.7,24.2,174.5,966.0,24.6,5.04,No fertilizer needed
Corn,5.84,2.97,140.9,46.3,117.6,758.8,21.7,6.5,No fertilizer needed
Rice,5.2,3.28,86.2,33.3,171.0,1035.4,26.1,4.84,No fertilizer needed
Wheat,6.43,2.89,112.5,46.7,210.2,667.2,22.5,4.64,No fertilizer needed
Soybeans,5.2,4.2,60.6,43.2,184.3,598.1,23.6,2.97,No fertilizer needed
Soybeans,6.89,4.09,50.6,50.7,216.8,485.1,22.4,3.34,No fertilizer needed
Rice,5.93,4.33,134.9,26.8,215.9,1018.5,27.4,5.21,No fertilizer needed
Wheat,6.29,3.54,52.1,29.0,218.3,551.8,16.5,4.15,Need N fertilizer
Rice,7.11,4.73,158.8,38.6,117.2,993.7,23.0,4.58,No fertilizer needed
Wheat,6.71,3.41,98.8,33.5,171.7,653.2,19.7,4.7,No fertilizer needed
Soybeans,6.75,4.91,31.8,42.8,137.3,714.3,23.7,3.0,Need N fertilizer
Wheat,7.08,4.07,87.7,27.9,274.8,733.1,18.3,4.23,No fertilizer needed
Soybeans,7.02,4.29,85.0,40.3,214.1,632.2,23.6,3.16,No fertilizer needed
Soybeans,6.42,4.01,58.6,39.9,174.5,411.7,19.3,3.2,No fertilizer needed
Rice,5.89,4.42,141.4,22.7,171.7,793.4,25.5,4.8,No fertilizer needed
Wheat,7.21,2.11,109.5,27.4,188.3,570.8,18.9,4.31,No fertilizer needed
Soybeans,6.56,3.16,55.2,37.2,189.4,570.4,22.2,3.2,No fertilizer needed
Wheat,7.11,3.15,45.6,16.7,198.1,579.0,19.9,4.23,Need N-P complex fertilizer
Rice,5.38,4.66,141.3,47.6,123.5,1051.1,25.1,4.69,No fertilizer needed
Wheat,6.82,3.84,124.3,24.4,226.0,604.8,14.5,4.56,No fertilizer needed
Rice,5.6,4.38,110.8,58.0,225.4,849.9,24.3,4.95,No fertilizer needed
Soybeans,7.03,4.62,32.4,57.6,212.2,607.1,22.3,2.97,Need N fertilizer
Rice,6.31,3.92,119.2,37.7,196.0,786.2,27.0,4.81,No fertilizer needed
Corn,5.87,2.85,89.8,34.8,177.1,641.2,20.9,6.11,Need N fertilizer
Rice,5.89,4.28,155.8,25.0,145.5,830.8,26.3,4.8,No fertilizer needed
Corn,7.28,2.35,91.5,33.8,236.0,691.7,22.1,6.26,No fertilizer needed
Soybeans,7.03,3.74,71.5,44.5,174.1,529.4,25.2,3.24,No fertilizer needed
Wheat,6.89,3.98,97.5,33.4,166.9,536.4,21.8,4.33,No fertilizer needed
Rice,6.11,3.44,139.0,33.3,163.1,879.1,22.8,5.14,No fertilizer needed
Rice,5.13,3.99,116.6,42.8,184.1,860.0,25.0,4.73,No fertilizer needed
Corn,6.34,2.76,106.8,30.8,178.9,561.5,24.5,6.15,No fertilizer needed
Wheat,6.32,3.96,109.4,34.5,206.9,558.7,17.8,4.54,No fertilizer needed
Rice,6.23,4.34,127.2,11.2,159.8,923.6,29.1,4.59,Need P fertilizer
Wheat,6.17,3.36,77.9,44.2,235.6,433.5,17.5,4.18,No fertilizer needed
Wheat,5.85,3.2,117.6,29.6,279.0,689.6,23.7,4.44,No fertilizer needed
Wheat,6.87,2.81,129.2,32.4,204.2,668.6,21.2,4.28,No fertilizer needed
Corn,6.91,2.41,114.7,72.8,177.5,699.9,20.7,6.17,No fertilizer needed
Soybeans,7.21,3.24,74.0,41.8,155.5,505.8,21.9,3.31,No fertilizer needed
Soybeans,5.52,3.67,61.2,32.2,89.3,600.0,18.2,2.84,Need K fertilizer
Rice,5.9,2.96,94.1,35.2,246.7,938.1,24.7,4.73,No fertilizer needed
Rice,5.96,2.62,163.5,30.3,156.6,929.5,24.8,4.56,No fertilizer needed
Wheat,6.75,3.42,94.7,34.2,224.3,671.0,18.3,4.28,No fertilizer needed
Wheat,6.11,3.83,81.6,47.9,253.0,746.2,16.9,4.56,No fertilizer needed
Rice,6.41,4.26,134.6,39.6,142.5,948.2,24.4,5.0,No fertilizer needed
Soybeans,7.15,3.92,29.3,35.2,177.5,514.4,22.3,3.13,Need N fertilizer
Wheat,7.44,4.03,139.2,22.9,197.0,640.2,17.7,4.14,No fertilizer needed
Wheat,7.05,4.32,118.6,44.8,190.9,736.5,18.3,4.23,No fertilizer needed
Rice,5.45,3.44,117.1,28.6,153.3,1048.1,23.5,5.19,No fertilizer needed
Rice,6.28,2.92,89.0,22.9,157.5,1012.0,26.5,4.81,No fertilizer needed
Corn,7.56,1.44,127.2,57.1,135.9,845.7,22.3,6.0,No fertilizer needed
Rice,6.15,3.2,106.3,31.9,275.0,916.8,26.6,4.69,No fertilizer needed
Rice,5.73,3.93,106.9,29.5,222.8,724.6,24.8,4.97,No fertilizer needed
Wheat,6.66,2.86,56.3,31.8,140.5,686.7,17.2,4.34,Need N fertilizer
Rice,5.44,4.85,145.2,21.5,156.7,902.6,24.8,5.01,No fertilizer needed
Corn,7.32,3.0,98.7,41.7,208.3,730.4,19.6,6.42,No fertilizer needed
Soybeans,7.96,4.47,41.5,34.0,125.5,606.2,18.3,2.9,Need K-N complex fertilizer
Soybeans,6.79,3.71,44.4,43.1,176.8,501.8,22.8,3.05,Need N fertilizer
Rice,6.35,3.65,97.3,23.8,118.0,831.7,25.7,4.91,No fertilizer needed
Corn,6.73,3.12,124.9,39.1,183.4,679.3,22.3,6.81,No fertilizer needed
Soybeans,6.38,3.81,62.1,21.2,170.4,546.4,24.2,3.1,Need P fertilizer
Rice,5.46,4.36,91.6,22.0,146.9,883.5,24.4,4.79,No fertilizer needed
Soybeans,6.66,4.14,51.5,18.7,221.6,605.5,24.5,2.94,Need P fertilizer
Rice,5.55,4.06,106.2,27.3,166.1,936.3,30.0,4.85,No fertilizer needed
Rice,6.0,4.14,116.4,14.6,163.6,832.7,25.5,4.95,Need P fertilizer
Soybeans,7.46,4.44,67.0,65.4,242.4,503.2,24.5,3.2,No fertilizer needed
Rice,6.47,3.54,106.0,30.8,170.6,987.4,23.8,4.95,No fertilizer needed
Wheat,6.84,3.02,107.4,51.5,128.6,626.7,18.0,4.47,Need K fertilizer
Wheat,7.89,2.76,143.7,39.7,173.7,649.5,17.0,4.41,No fertilizer needed
Corn,5.69,2.09,129.2,50.1,180.4,645.8,23.0,6.27,No fertilizer needed
Soybeans,5.82,4.52,71.5,44.1,192.0,604.5,26.0,3.14,No fertilizer needed
Rice,6.19,4.45,110.0,31.9,143.6,937.8,27.3,4.91,No fertilizer needed
Corn,6.21,3.44,89.4,39.5,134.1,656.5,19.6,6.35,Need N fertilizer
Soybeans,6.33,4.41,45.4,55.7,134.3,535.4,25.0,3.14,No fertilizer needed
Rice,6.04,3.68,84.3,24.0,162.9,868.1,21.7,4.78,No fertilizer needed
Soybeans,6.22,4.44,123.3,48.6,170.8,599.5,23.9,2.96,No fertilizer needed
Rice,5.71,3.82,95.9,27.3,228.3,929.3,26.5,4.89,No fertilizer needed
Wheat,6.24,2.67,104.3,41.3,125.5,734.8,18.9,4.47,Need K fertilizer
Rice,7.05,4.21,143.6,15.5,158.1,786.9,26.2,4.9,Need P fertilizer
Wheat,7.1,3.17,76.7,40.8,197.5,580.1,19.1,4.24,No fertilizer needed
Rice,6.55,4.48,100.8,28.4,132.6,957.9,24.7,5.24,No fertilizer needed
Rice,5.39,3.54,111.6,23.0,192.3,891.6,23.7,4.91,No fertilizer needed
Corn,6.73,3.17,103.6,48.2,127.2,779.7,20.7,6.46,No fertilizer needed
Wheat,6.2,3.21,103.5,28.9,292.8,602.9,20.1,4.22,No fertilizer needed
Wheat,6.52,4.17,77.1,44.4,206.0,761.2,18.6,4.49,No fertilizer needed
Wheat,6.73,3.12,112.2,31.5,253.0,692.8,19.9,4.4,No fertilizer needed
Corn,5.81,1.47,103.9,51.8,261.3,634.7,21.0,5.78,No fertilizer needed
Soybeans,7.63,3.93,44.8,28.7,237.1,363.6,22.0,2.91,Need N-P complex fertilizer
Corn,5.85,2.84,132.6,30.0,131.4,555.8,23.9,6.15,No fertilizer needed
Soybeans,6.75,4.11,82.1,45.0,154.9,466.1,23.2,3.27,No fertilizer needed
Corn,6.26,3.54,116.8,43.4,154.3,619.3,24.7,6.68,No fertilizer needed
Soybeans,6.09,4.27,30.6,54.7,172.4,434.0,22.7,2.99,Need N fertilizer
Soybeans,7.37,3.92,51.0,64.9,260.5,435.4,26.3,3.17,No fertilizer needed
Corn,7.38,2.72,148.3,35.1,216.2,688.6,21.1,6.65,No fertilizer needed
Rice,6.93,2.73,96.5,29.0,223.1,872.7,25.6,4.82,No fertilizer needed
Corn,6.79,3.38,122.3,55.2,206.7,640.1,25.7,6.35,No fertilizer needed
Corn,6.65,2.39,135.0,42.4,180.3,620.8,22.6,6.56,No fertilizer needed
Rice,6.98,4.25,87.6,21.9,143.5,942.8,27.6,5.13,No fertilizer needed
Corn,6.75,2.58,123.7,33.5,136.8,686.2,24.3,6.81,No fertilizer needed
Corn,5.97,1.69,119.4,51.9,158.1,662.6,25.7,6.39,No fertilizer needed
Corn,6.92,2.04,113.1,27.9,129.0,692.8,24.3,6.17,No fertilizer needed
Rice,5.49,2.97,103.7,32.5,151.3,714.9,25.3,4.82,No fertilizer needed
Rice,6.28,3.26,175.2,33.6,192.1,794.0,24.0,4.96,No fertilizer needed
